"","End.Date","State","YearQuarter","YearMonth","Latino","Indigenous","Asian","Black","Pacific Islander","White","More than one race"
"119",2021-09-30,"Hawaii","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",51.317695510676,NA,77.6169997069562,NA,155.474233079343,28.5707641350533,NA
"120",2021-12-31,"Hawaii","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",58.4631974172259,NA,89.4971527233271,NA,176.0085657502,37.5406552007096,NA
"121",2022-03-31,"Hawaii","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",66.9078814886029,NA,116.425499560434,NA,198.009636468975,51.4938190806194,NA
"122",2020-06-30,"Idaho","2020, Quarter 2","6/2020",NA,NA,0,NA,0,5.2434718775125,NA
"123",2020-09-30,"Idaho","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",28.6590916753768,NA,NA,NA,0,28.7718713278891,NA
"124",2020-12-31,"Idaho","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",69.1189858053205,144.047741537195,59.0514855139325,NA,NA,87.7945419491195,NA
"125",2021-03-31,"Idaho","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",87.2416467176911,185.204239119251,77.5050747370364,72.5005437540782,NA,114.011901336682,NA
"126",2021-06-30,"Idaho","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",92.299133483934,200.637925712522,84.8865104262779,72.5005437540782,NA,126.650013041456,NA
"127",2021-09-30,"Idaho","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",126.858626386594,267.517234283362,121.793688872486,101.500761255709,NA,181.03422777104,NA
"128",2021-12-31,"Idaho","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",160.996662058734,432.143224611586,151.319431629452,137.751033132748,396.946564885496,252.022770112748,NA
"129",2022-03-31,"Idaho","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",174.061836204862,483.588846589155,169.773020852556,159.501196258972,427.480916030534,291.079913200373,NA
"130",2020-06-30,"Illinois","2020, Quarter 2","6/2020",64.8271785806317,NA,42.9581609059189,102.03588289991,NA,39.0209886377665,NA
"131",2020-09-30,"Illinois","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",76.8555709927433,51.2163892445583,49.556749885198,114.628741175161,NA,51.326799070701,NA
"132",2020-12-31,"Illinois","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",125.870143818127,76.8245838668374,82.0110344567543,168.935442487179,NA,133.93086632511,NA
"133",2021-03-31,"Illinois","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",153.080439761631,76.8245838668374,102.74945696306,200.530024409907,NA,169.349513019902,NA
"134",2021-06-30,"Illinois","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",165.649434079905,81.9462227912932,110.560031673227,227.570938831315,NA,182.69395488895,NA
"135",2021-09-30,"Illinois","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",173.938663307727,92.1895006402049,114.465319028311,247.697024824796,NA,202.914399809733,NA
"136",2021-12-31,"Illinois","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",190.562171922218,107.554417413572,124.565200119044,282.158730729835,NA,238.372488204631,NA
"137",2022-03-31,"Illinois","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",214.123404999126,128.040973111396,140.455679701798,340.007173431768,NA,289.107661773748,NA
"138",2020-06-30,"Indiana","2020, Quarter 2","6/2020",21.2945917707349,NA,17.6541606870316,83.228978956049,NA,38.1476054216667,NA
"139",2020-09-30,"Indiana","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",35.0266182397134,NA,21.0710950135538,104.608900155768,NA,55.6841165707314,NA
"140",2020-12-31,"Indiana","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",73.038459624857,83.3226509421869,47.267591516891,162.94554228643,NA,156.044582973604,NA
"141",2021-03-31,"Indiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",98.910393551918,102.550955005768,66.0607303127634,203.109251397331,NA,207.458445206089,NA
"142",2021-06-30,"Indiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",109.657196875466,115.36982438149,67.7691974760245,222.962035368498,405.604719764012,220.193292588148,NA
"143",2021-09-30,"Indiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",126.573461366237,128.188693757211,73.4640880202283,253.35206621667,405.604719764012,255.304272702617,NA
"144",2021-12-31,"Indiana","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",155.430618438728,160.235867196513,79.7284676188524,299.471610518921,442.477876106195,320.060307378601,NA
"145",2022-03-31,"Indiana","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",181.103537489427,173.054736572234,87.7013143807376,354.75397819248,442.477876106195,382.387041808827,NA
"146",2020-06-30,"Iowa","2020, Quarter 2","6/2020",29.1324360543029,136.525939928586,33.8610994348699,35.5731225296443,211.014982063727,22.2156231931106,NA
"147",2020-09-30,"Iowa","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",39.8143292742139,157.52993068683,38.5315959086451,54.5454545454545,232.116480270099,46.3012483385033,NA
"148",2020-12-31,"Iowa","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",67.4901435258016,304.557865994539,65.3869506328523,101.185770750988,253.217978476472,164.485371722728,NA
"149",2021-03-31,"Iowa","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",82.0563615529531,451.585801302247,80.5660641726216,128.853754940711,253.217978476472,203.381412330194,NA
